review_id,product_category,product_name,rating,review_text,sentiment,review_length,verified_purchase,contains_sarcasm,mixed_sentiment,review_date
REV0052,Beauty,Moisturizer,5,Finally found a moisturizer that doesn't make me oily or break me out. My skin has never looked better. Worth the premium price 100%. Reordering asap before they run out.,Positive,short,Yes,False,False,2024-08-13
REV0053,Fitness,Dumbbells,4,"Great set of dumbbells. Weights are accurate, they dont damage the floor. Handles are good grip. Only minor issue is adjusting them between weights takes a couple seconds but thats expected.",Positive,short,Yes,False,True,2024-08-12
REV0054,Electronics,Monitor,1,Monitor arrived with dead pixel right in the center of the screen. Contacted support for replacement and they said I'd have to pay return shipping. Absolutely ridiculous customer service.,Negative,medium,Yes,False,False,2024-08-11
REV0055,Clothing,Underwear Set,5,"These are the most comfortable undies ive ever owned. Stayed in place all day, no wedgies, super soft. Got a 3-pack and already want to buy more colors. Best underwear investment ever!!",Positive,short,Yes,False,False,2024-08-10
REV0056,Books,Historical Fiction,4,Really enjoyed this book. Great writing style and the historical details are accurate which I appreciate. Only lost steam a bit in the middle but overall very good.,Positive,short,Yes,False,True,2024-08-09
REV0057,Kitchen,Food Processor,3,Does what its supposed to do. Chops vegetables and makes dough. Takes up a lot of counter space tho. Not sure I use it enough to justify keeping it honestly.,Neutral,medium,Yes,False,False,2024-08-08
REV0058,Home & Garden,Grill,1,Gas grill leaks gas constantly. Thermometer doesnt work. One burner wont light. Basically unusable. Manufacturer says its user error but I followed instructions exactly.,Negative,medium,Yes,False,False,2024-08-07
REV0059,Pet Supplies,Bird Feeder,3,Birds seem to like it well enough. Design is sturdy for the most part. Refilling is kinda awkward but it works. Nothing fancy but serves its purpose ok.,Neutral,short,Yes,False,False,2024-08-06
REV0060,Beauty,Lip Balm,2,Way too waxy and leaves a weird film on my lips. Also the stick broke off on my second use which is frustrating. For lip balm its pretty mediocre tbh.,Negative,short,Yes,False,False,2024-08-05
REV0061,Electronics,Phone Charger,4,Fast charging actually works as advertised. Cable is durable and havent had any issues. Good quality for a reasonable price. Small complaint is it gets a bit warm when charging.,Positive,short,Yes,False,True,2024-08-04
REV0062,Furniture,Storage Bench,5,"Perfect for my entryway! Stores tons of stuff, looks elegant, built to last. Assembly was straightforward. Great quality wood. Happy as can be with this purchase.",Positive,short,Yes,False,False,2024-08-03
REV0063,Clothing,Yoga Pants,4,So comfy for everyday wear not just yoga. Fabric is thick so not see-through. Pockets actually fit my phone! Only wish the waistband had more give but overall excellent.,Positive,short,Yes,False,True,2024-08-02
REV0064,Fitness,Protein Powder,3,Tastes decent mixes okay with water or milk. Does the job after workouts. Kind of expensive tho. Dont notice a huge difference in muscle growth but might be placebo.,Neutral,short,Yes,False,False,2024-08-01
